Genre,Description
Allemande,Moderate-tempo German dance in duple meter; common suite opening
Balleto,Instrumental dance derived from vocal ballo
Basse danse,Slow ceremonial instrumental dance
Battaglia,Programmatic instrumental depiction of battle
Burlesca,Humorous or grotesque instrumental character piece
Canzona,Sectional instrumental piece with contrasting tempi and textures
Capriccio,Free imaginative instrumental composition
Ciaccona,Continuous variations over repeating harmonic pattern or bass
Consort music,Instrumental music for homogeneous ensembles (e.g. viol consort)
Courante,Triple-meter dance; French flowing or Italian fast type
Divertimento,Light instrumental entertainment music
Double,Ornamental variation of a preceding dance movement
Fantasia,Free contrapuntal instrumental work
Folia,Variation form over fixed harmonic progression
Fugato,Instrumental passage using fugal imitation
Fugue,Strict contrapuntal instrumental form based on a subject
Gagliarda,Lively triple-meter dance with leaping character
Ground,Instrumental piece built on repeating bass line
Invention,Short didactic contrapuntal keyboard piece
Keyboard suite,Ordered collection of instrumental dances for keyboard
March,Processional instrumental piece
Menuet,Moderate triple-meter dance
Musette,Pastoral instrumental piece with drone bass
Overture (French),Slow–fast instrumental introduction with dotted rhythms
Partita,Instrumental suite, often keyboard-based
Passacaglia,Continuous variations over repeating bass or harmonic pattern
Pastorale,Instrumental piece evoking rural or shepherd imagery
Pavane,Slow duple-meter ceremonial dance
Prelude,Introductory instrumental piece, often improvisatory
Ricercar,Learned contrapuntal instrumental form, precursor to fugue
Rigaudon,Lively French duple-meter dance
Sinfonia,Standalone instrumental work or operatic overture
Solo sonata,Instrumental sonata for one melody instrument and continuo
Sonata,Multi-movement instrumental composition
Sonata da camera,Dance-based instrumental sonata
Sonata da chiesa,Abstract church sonata without dances
Suite,Ordered set of instrumental dances in one key
Toccata,Brilliant, improvisatory keyboard piece
Trio sonata,Sonata for two melody instruments and continuo
Verset,Short instrumental liturgical piece
Voluntary,English organ piece, free or sectional
